gene,baseMean,log2FoldChange,stat,pvalue,padj
gene_1,894.7890515885574,-0.338632383417683,-3.762534879929618,0.020617716534265616,0.06341813895678942
gene_2,882.0644334073613,-0.238397646344441,-1.3752583039072992,0.29542040375902784,0.3224396165997458
gene_3,874.5156129849071,-0.34572297524746637,-10.799933724938045,0.0004392283796150865,0.005690767163208946
gene_4,969.7848450470367,-0.3546184919832531,-3.8965210745469347,0.01819907350891578,0.05928036973588202
gene_5,891.1720670333474,-0.43451939231729664,-6.111721065248826,0.01373161737924764,0.05171983946985928
gene_6,862.0940995065059,-0.3088079713948429,-1.7734852953581495,0.15785029426202848,0.20146814838803892
gene_7,879.495750012173,-0.32957419857594406,-6.150784154336623,0.02361269134078268,0.06821199484921392
gene_8,914.4840296563475,-0.3654560903700137,-4.286965978304649,0.02103000918485411,0.06421376850337132
gene_9,2394.111349902713,1.9584189905850278,17.554899772310762,0.002493765542327713,0.017624011938404925
gene_10,599.1904487884245,-2.6776315978106906,-22.007294351123917,0.0002497812543554944,0.004306573350956799
gene_11,931.6081403989189,-0.6818380053650144,-6.36832053930828,0.0031183258763635715,0.020522655023976516
gene_12,966.1324143870557,-0.4117119312423302,-3.513028889007085,0.02554511129560628,0.07135505948493374
gene_13,898.2043427130689,-0.3091986469374237,-3.93752917796767,0.04226650082287249,0.08866455805282226
gene_14,906.0372139428434,-0.5178626139826427,-3.2171089834070834,0.03237716733323796,0.07755010139697716
gene_15,2283.04967489539,1.7832907530397504,19.598710217681028,0.00028700612176987356,0.004743902839171464
gene_16,922.7370888278722,-0.22695113534134814,-1.5308577847271445,0.2318958376507835,0.26694821406377295
gene_17,2081.2759146754606,1.7658910238302148,30.354996226871084,1.7775271065506844e-05,0.0015634604101918035
gene_18,931.7653461606413,-0.2006152078335064,-1.3169193368741785,0.2837244306351554,0.3108197851888766
gene_19,909.4076141817629,-0.23024392332231847,-1.8683346154450904,0.1479135575933339,0.19247047181956267
gene_20,924.7835457471092,-0.34045924529703325,-2.887709079761265,0.0981010423540223,0.14718836062118876
gene_21,930.4886776406329,-0.5558834581534864,-3.4690743456915603,0.044203849591513356,0.09189989520065148
gene_22,832.0083370702259,-0.35641019287128556,-3.8057073154239967,0.05735694079762592,0.10621655703264059
gene_23,960.1256018184796,-0.45582979335055096,-3.0657631208752254,0.04052711060022906,0.08708633113290042
gene_24,956.3442375597958,-0.5778128845647265,-3.9410246751276055,0.030344291899104505,0.07576602221998628
gene_25,919.7670016052302,-0.5252625517312555,-5.417695885584343,0.005663284067198174,0.029719277658474628
gene_26,870.2653786608407,-0.347378835964667,-3.491359263192397,0.04459004494469617,0.09205698343072562
gene_27,892.508855458249,-0.34736319530881526,-3.5294698739675123,0.06106068345423986,0.10924381085126991
gene_28,970.3552255137573,-0.25295925950495884,-1.65674042679008,0.2035963265603159,0.24108505217325743
gene_29,913.5927022022695,-0.3738581547664959,-2.9863549057680405,0.04048378302193267,0.08708633113290042
gene_30,958.481668279464,-0.2770555888818381,-1.6599515515448815,0.17478231958316856,0.21658279997914318
gene_31,885.4588430384648,-0.511547043527753,-5.8968589318804785,0.011553776424192497,0.04715827111915305
gene_32,988.2852145979082,-0.6537037830982456,-7.545696640385592,0.013630362179402968,0.05153256022458589
gene_33,884.6998824269308,-0.12138657730128215,-0.6757040364246881,0.5411047640294131,0.5535598608996554
gene_34,890.0952943608609,-0.4986884792982812,-4.16197559209928,0.016395920033306623,0.05610277189927862
gene_35,865.0709392652764,-0.461764161960405,-4.24074619438846,0.033830132570808816,0.0793203577275705
gene_36,1821.053900612868,1.322170912152864,19.07798813326701,5.2172197048321834e-05,0.0018206094159293731
gene_37,907.3860012564696,-0.3428683441180256,-3.0370103508019977,0.03927920026214338,0.0860442503004236
gene_38,965.512646759423,-0.30593493849388154,-5.6136245822085105,0.006175462410481319,0.031457319634725325
gene_39,924.258169852011,-0.38996476422189263,-4.132060649112535,0.0533415347792128,0.10102563405153939
gene_40,919.3056131142922,-0.3646191735707908,-3.205938735588638,0.047398641377863364,0.09470403538761554
gene_41,974.2669306150246,-0.23778941743775742,-1.6561327500389247,0.22240260540481066,0.2590213185771725
gene_42,2327.0971788843876,1.561999037895568,11.931450209350663,0.0007225678866845212,0.008118740299826082
gene_43,994.0576060087719,-0.49156594090491285,-8.867718154664017,0.006197091968040889,0.031457319634725325
gene_44,926.3047905030918,-0.29386137308747057,-5.099368338305657,0.027069041120863828,0.07210617941140512
gene_45,894.09100619647,-0.15603053701294983,-1.068546049156079,0.34825035233708823,0.3710712331775048
gene_46,894.9010823431972,0.03990366885894221,0.7247593605514489,0.5191801933378899,0.5319469194035757
gene_47,910.1699834828114,-0.42696728142100826,-3.967800161485161,0.017722362249847082,0.05866957060390153
